,Custo,Qualidade,Tempo,Risco
Custo,1,0.333,0.5,2
Qualidade,3,1,2,5
Tempo,2,0.5,1,3
Risco,0.5,0.2,0.333,1

# INSTRUÇÕES PARA PREENCHIMENTO:
# 1. Mantenha a primeira linha com os nomes dos critérios
# 2. Mantenha a primeira coluna com os mesmos nomes
# 3. A diagonal principal deve sempre ser 1 (comparação do critério consigo mesmo)
# 4. Use a escala de Saaty para comparações:
#    - 1 = Igual importância
#    - 3 = Importância moderada
#    - 5 = Importância forte
#    - 7 = Importância muito forte
#    - 9 = Importância extrema
#    - 2, 4, 6, 8 = Valores intermediários
# 5. Para frações, use decimais (ex: 1/3 = 0.333, 1/5 = 0.2)
# 6. A matriz deve ser recíproca: se A comparado com B = 3, então B comparado com A = 1/3 (0.333)
# 7. Número de linhas deve ser igual ao número de colunas (matriz quadrada)
